,CountryCode,Country,Count
0,AGO,ANGOLA,1
1,ALB,ALBANIA,1
2,ARE,UNITED ARAB EMIRATES,286
3,ARG,ARGENTINA,22
4,ARM,ARMENIA,1
5,AUS,AUSTRALIA,3694
6,AUT,AUSTRIA,102
7,AZE,AZERBAIJAN,8
8,BEL,BELGIUM,46
9,BEN,BENIN,1
10,BGD,BANGLADESH,101
11,BGR,BULGARIA,12
12,BHR,BAHRAIN,13
13,BLR,BELARUS,3
14,BMU,BERMUDA,3
15,BOL,BOLIVIA,10
16,BRA,BRAZIL,37
17,BRB,BARBADOS,1
18,BRN,BRUNEI DARUSSALAM,780
19,BTN,BHUTAN,4
20,BWA,BOTSWANA,1
21,CAN,CANADA,528
22,CHE,SWITZERLAND,283
23,CHL,CHILE,12
24,CHN,CHINA,4796
25,CMR,CAMEROON,1
26,COL,COLOMBIA,15
27,CRI,COSTA RICA,7
28,CYM,CAYMAN ISLANDS,2
29,CYP,CYPRUS,15
30,CZE,CZECH REPUBLIC,69
31,DEU,GERMANY,456
32,DNK,DENMARK,105
33,DOM,DOMINICAN REPUBLIC,1
34,ECU,ECUADOR,7
35,EGY,EGYPT,21
36,ESP,SPAIN,337
37,EST,ESTONIA,9
38,ETH,ETHIOPIA,6
39,FIN,FINLAND,96
40,FJI,FIJI,13
41,FRA,FRANCE,483
42,FRO,FAROE ISLANDS,3
43,GBR,UNITED KINGDOM,1309
44,GEO,GEORGIA,15
45,GHA,GHANA,5
46,GIN,GUINEA,4
47,GLP,GUADELOUPE,1
48,GNB,GUINEA-BISSAU,1
49,GRC,GREECE,110
50,GTM,GUATEMALA,1
51,GUM,GUAM,9
52,GUY,GUYANA,2
53,HKG,HONG KONG,2411
54,HRV,CROATIA,56
55,HUN,HUNGARY,23
56,IDN,INDONESIA,3452
57,IND,INDIA,2251
58,IRL,IRELAND,123
59,ISL,ICELAND,117
60,ISR,ISRAEL,48
61,ITA,ITALY,455
62,JAM,JAMAICA,3
63,JOR,JORDAN,16
64,JPN,JAPAN,2061
65,KAZ,KAZAKHSTAN,15
66,KEN,KENYA,21
67,KGZ,KYRGYZSTAN,6
68,KHM,CAMBODIA,493
69,KOR,"KOREA, REPUBLIC OF",1479
70,KWT,KUWAIT,8
71,LBN,LEBANON,5
72,LKA,SRI LANKA,256
73,LTU,LITHUANIA,5
74,LUX,LUXEMBOURG,9
75,LVA,LATVIA,3
76,MAC,MACAO,110
77,MAR,MOROCCO,15
78,MDA,"MOLDOVA, REPUBLIC OF",1
79,MDV,MALDIVES,25
80,MEX,MEXICO,33
81,MKD,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",3
82,MLI,MALI,2
83,MLT,MALTA,11
84,MMR,MYANMAR,806
85,MNG,MONGOLIA,44
86,MNP,NORTHERN MARIANA ISLANDS,2
87,MUS,MAURITIUS,11
88,MYS,MALAYSIA,5930
89,NAM,NAMIBIA,5
90,NCL,NEW CALEDONIA,1
91,NGA,NIGERIA,1
92,NLD,NETHERLANDS,375
93,NOR,NORWAY,164
94,NPL,NEPAL,120
95,NZL,NEW ZEALAND,537
96,OMN,OMAN,18
97,PAK,PAKISTAN,29
98,PAN,PANAMA,4
99,PER,PERU,92
100,PHL,PHILIPPINES,2490
101,PNG,PAPUA NEW GUINEA,11
102,POL,POLAND,34
103,PRI,PUERTO RICO,3
104,PRT,PORTUGAL,96
105,PYF,FRENCH POLYNESIA,2
106,QAT,QATAR,17
107,ROU,ROMANIA,23
108,RUS,RUSSIAN FEDERATION,80
109,RWA,RWANDA,1
110,SAU,SAUDI ARABIA,62
111,SEN,SENEGAL,1
112,SGP,SINGAPORE,13255
113,SLB,SOLOMON ISLANDS,1
114,SLE,SIERRA LEONE,1
115,SRB,SERBIA,7
116,SVN,SLOVENIA,10
117,SWE,SWEDEN,64
118,SYC,SEYCHELLES,1
119,THA,THAILAND,5894
120,TJK,TAJIKISTAN,1
121,TKM,TURKMENISTAN,2
122,TUN,TUNISIA,7
123,TUR,TURKEY,80
124,TZA,"TANZANIA, UNITED REPUBLIC OF",21
125,UGA,UGANDA,4
126,UKR,UKRAINE,10
127,URY,URUGUAY,1
128,USA,UNITED STATES,2530
129,UZB,UZBEKISTAN,10
130,Unknown,"TAIWAN, PROVINCE OF CHINA",1090
131,Unknown,LAO PEOPLE'S DEMOCRATIC REPUBLIC,149
132,Unknown,TRINIDAD AND TOBAGO,4
133,Unknown,"IRAN, ISLAMIC REPUBLIC OF",3
134,Unknown,REUNION,2
135,Unknown,BOSNIA AND HERZEGOVINA,1
136,Unknown,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",1
137,Unknown,LIBYAN ARAB JAMAHIRIYA,1
138,Unknown,REPUBLIC OF MONTENEGRO,1
139,Unknown,TIBET,1
140,Unknown,TURKS AND CAICOS ISLANDS,1
141,VEN,VENEZUELA,5
142,VIR,"VIRGIN ISLANDS, U.S.",1
143,VNM,VIET NAM,1669
144,VUT,VANUATU,5
145,WSM,SAMOA,1
146,ZAF,SOUTH AFRICA,162
147,ZMB,ZAMBIA,3
148,ZWE,ZIMBABWE,3
